Дражня	ул.					
Дражненский 1-й	пер.					
Дражненский 2-й	пер.					
Дрозда	ул.					
Дружба	ул.					
Дубравинская	ул.					
Дубравинский	пер.					
Дунина-Марцинкевича	ул.					
Енисейская	ул.					
Енисейский 1-й	пер.					
Енисейский 2-й	пер.					
Енисейский	проезд					
Есенина	ул.	Ясеніна				
Жилуновича	ул.					
Железнодорожная	ул.					
Железнодорожный 1-й	пер.					
Железнодорожный 2-й	пер.					
Железнодорожный 3-й	пер.					
Железнодорожный 4-й	пер.					
Железнодорожный 5-й	пер.					
Железнодорожный 6-й	пер.					
Железнодорожный 7-й	пер.					
Железнодорожный 8-й	пер.					
Жлобинская	ул.					
Купревича	ул.					
Жудро	ул.					
Жукова просп.	просп.	Жукава			
Жуковского	ул.	Жукоўскага	Октябрьский			
Жуковского 1-й	пер.	Жукоўскага 1-ы				
Жуковского 2-й	пер.	Жукоўскага 2-i				
Заводская	ул.					
Загородный 1-й	пер.					
Загородный 2-й	пер.					
Загородный 3-й	пер.					
Загородный 4-й	пер.					
Заливная	ул.					
Замковая	ул.					
Западная	ул.					
Запорожская	ул.					
Запорожский 1-й	пер.					
Заречная	ул.					
Заречный 1-й	пер.					
Заречный 2-й	пер.					
Заречный 3-й	пер.					
Заречный тупик					
Запорожский 3-й	пер.					
Заслонова	ул.					
Захарова	ул.	Захарава				
Заславская	ул.					
Золотая Горка	ул.	Залатая горка				
Зеленая	ул.		Первомайский			
Зеленый	пер.					
Землемерная 1-я	ул.					
Землемерная 2-я	ул.					
Землемерный	пер.					
Земледельческая	ул.		Центральный			
Земледельческий 1-й	пер.					
Земледельческий 3-й	пер.					
Зенитный	пер.					
Затишье	ул.					
Зимняя	ул.					
Зимний 1-й	пер.					
Зимний 2-й	пер.					
Зубачева	ул.					
Зубачева 1-й	пер.					
Зубачева 2-й	пер.					
Зубачева 3-й	пер.					
Игуменский тракт		Ігуменскі тракт			
Иерусалимская	ул.					
Ивановская	ул.					
Известия газеты просп					
Извозная	ул.					
Извозный 1-й	пер.					
Извозный 2-й	пер.					
Извозный 3-й	пер.					
Измайловская	ул.					
Измайловский 1-й	пер.					
Измайловский 2-й	пер.					
Измайловский 3-й	пер.					
Измайловский 4-й	пер.					
Измайловский	проезд					
Илимская	ул.	Ілімская	Заводской			
Ильменская	ул.					
Индустриальная	ул.					
Инженерная	ул.					
Инструментальный	пер.					
Интернациональная	ул.					
Иркутская	ул.					
Иркутский	пер.					
Искалиева	ул.					
Кабушкина	ул.					
Казарменный	пер.					
Казея	ул.					
Калинина	пл.	Калініна			
Калинина	ул.	Калініна				
Калинина	пер.					
Калининградский	пер.					
Калиновского	ул.					
Кальварийский	проезд					
Казинца площадь					
Канатный	пер.					
Карастояновой	ул.					
Карбышева	ул.	Карбышава				
Карпова	ул.					
Каховская	ул.					
Каховский	пер.					
Кедышко	ул.					
Кирилла и Мефодия	ул.					
Киевская	ул.					
Кижеватова	ул.					
Кирова	ул.					
Киселева	ул.	Кісялёва				
Клецкая	ул.					
Клецкий	проезд					
Клубный	проезд					
Клумова	ул.					
Клумова	пер.					
Ключевая	ул.					
Кнорина	ул.					
Коммунальная набережная					
Ковалева	ул.					
Ковалевской	ул.					
Ковалевской	пер.					
Колесникова	ул.					
Колхозная	ул.					
Коллекторная	ул.					
Коллективный	пер.					
Коллективный	проезд					
Заборского	ул.					
Дроздовича	ул.					
Коммунистическая	ул.	Камуністычная				
Кооперативный	пер.					
Комсомольская	ул.					
Кобринская	ул.					
Козлова	ул.	Казлова				
Козлова	пер.					
Казинца	ул.					
Кольцова 1-й	пер.					
Кольцова 2-й	пер.					
Кольцова 3-й	пер.					
Кольцова 4-й	пер.					
Кольцова	проезд					
Кольцевая 1-я	ул.					
Кольцевая 2-я	ул.					
Кольцевой 1-й	проезд					
Кольцевой 2-й	проезд					
Коласа	ул.	Якуба Коласа				
Коласа	пер.	Якуба Коласа				
